"동별(1)",동별(2),2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,4486014,9619861,4634458,4985403,9366283,4524862,4841421,253578,109596,143982,2.09,1785286
"합계",종로구,72394,150204,71684,78520,139189,67005,72184,11015,4679,6336,1.92,29338
"합계",중구,65273,131800,63383,68417,121475,58582,62893,10325,4801,5524,1.86,26516
"합계",용산구,104187,219451,105752,113699,206061,98564,107497,13390,7188,6202,1.98,39021
"합계",성동구,133233,283853,136993,146860,276597,133939,142658,7256,3054,4202,2.08,50534
"합계",광진구,170469,350005,166736,183269,334159,160329,173830,15846,6407,9439,1.96,58307
"합계",동대문구,173903,360066,174065,186001,341345,167147,174198,18721,6918,11803,1.96,68503
"합계",중랑구,188664,386782,188839,197943,381126,186600,194526,5656,2239,3417,2.02,81160
"합계",성북구,197371,436666,207814,228852,424194,203323,220871,12472,4491,7981,2.15,81965
"합계",강북구,143075,290252,139521,150731,285054,137733,147321,5198,1788,3410,1.99,69922
"합계",도봉구,138849,308060,148775,159285,305400,147847,157553,2660,928,1732,2.20,72365
"합계",노원구,218369,500045,239443,260602,495183,237415,257768,4862,2028,2834,2.27,98515
"합계",은평구,216345,468976,221990,246986,464738,220328,244410,4238,1662,2576,2.15,96177
"합계",서대문구,147312,320010,149129,170881,305369,144660,160709,14641,4469,10172,2.07,59275
"합계",마포구,181651,373980,173121,200859,363029,169292,193737,10951,3829,7122,2.00,59004
"합계",양천구,180679,436595,212591,224004,433307,211254,222053,3288,1337,1951,2.40,78399
"합계",강서구,274010,565133,270394,294739,559335,267927,291408,5798,2467,3331,2.04,105023
"합계",구로구,184097,413099,203345,209754,390169,191177,198992,22930,12168,10762,2.12,81973
"합계",금천구,121223,240153,121075,119078,226672,114031,112641,13481,7044,6437,1.87,46764
"합계",영등포구,192064,397771,195198,202573,375040,183512,191528,22731,11686,11045,1.95,69230
"합계",동작구,187662,389541,187445,202096,378324,182931,195393,11217,4514,6703,2.02,71823
"합계",관악구,286338,497632,248813,248819,481145,242251,238894,16487,6562,9925,1.68,87267
"합계",서초구,170464,411959,196029,215930,407404,193838,213566,4555,2191,2364,2.39,67191
"합계",강남구,245046,562136,268628,293508,556570,266101,290469,5566,2527,3039,2.27,89719
"합계",송파구,287380,658768,315963,342805,652752,313205,339547,6016,2758,3258,2.27,111724
"합계",강동구,205956,466924,227732,239192,462646,225871,236775,4278,1861,2417,2.25,85571
