Rank,Menu,Cafe,Price,Address
1,BLT,Old Oak Tap,$10.,2109 W. Chicago Ave.
2,Fried Bologna,Au Cheval,$9.,800 W. Randolph St.
3,Woodland Mushroom,Xoco,$9.50, 445 N. Clark St.
4,Roast Beef,Al’s Deli,$9.40, 914 Noyes St.
5,PB&L,Publican Quality Meats,$10.,825 W. Fulton Mkt.
6,Belgian Chicken Curry Salad,Hendrickx Belgian Bread Crafter,$7.25, 100 E. Walton St.
7,Lobster Roll,Acadia,$16.,1639 S. Wabash Ave.
8,Smoked Salmon Salad,Birchwood Kitchen,$10.,2211 W. North Ave.
9,Atomica Cemitas,Cemitas Puebla,$9.,3619 W. North Ave.
10,Grilled Laughing Bird Shrimp and Fried Po’ Boy,Nana,$17.,3267 S. Halsted St.
11,Ham and Raclette Panino,Lula Cafe,$11.,2537 N. Kedzie Blvd.
12,Breaded Steak,Ricobene’s,$5.49, Multiple locations
13,The Hawkeye,Frog n Snail,$14.,3124 N. Broadway
14,Chicken Dip,Crosby’s Kitchen,$10.,3455 N. Southport Ave.
15,Wild Boar Sloppy Joe,Longman & Eagle,$13.,2657 N. Kedzie Ave.
16,Meatball Sub,Bari,$4.50, 1120 W. Grand Ave.
17,Corned Beef,Manny’s,$11.95, 1141 S. Jefferson St.
18,Turkey Club,Eggy’s,$11.50, 333 E. Benton Pl.
19,Falafel,Old Jerusalem,$6.25, 1411 N. Wells St.
20,Crab Cake,Mindy’s HotChocolate,$15.,1747 N. Damen Ave.
21,Chicken Schnitzel,Olga’s Delicatessen,$5.,3209 W. Irving Park Rd.
22,Shawarma,Dawali Mediterranean Kitchen,$6.,Multiple locations
23,Toasted Pimiento Cheese,Big Jones,$8.,5347 N. Clark St.
24,Vegetarian Panino,La Pane,$5.99, 2954 W. Irving Park Rd.
25,Cali Chèvre,Pastoral,$7.52, Multiple locations
26,Pastrami,Max’s Deli,$11.95, 191 Skokie Valley Rd.
27,The Fredo,Lucky’s Sandwich Co.,$7.50, Multiple locations
28,Smoked Ham,City Provisions,$12.95, 1818 W. Wilson Ave.
29,Jibarito,Papa’s Cache Sabroso,$7.,2517 W. Division St.
30,Shaved Prime Rib,Bavette’s Bar & Boeuf,$21.,218 W. Kinzie St.
31,Serrano Ham and Manchego Cheese,Hannah’s Bretzel,$9.79, Multiple locations
32,Tuna Salad,La Fournette,$9.75, 1547 N. Wells St.
33,Paramount Reuben,Paramount Room,$13.,415 N. Milwaukee Ave.
34,The Istanbul,Melt Sandwich Shoppe,$7.95, 1840 N. Damen Ave.
35,B.A.D.,Floriole Cafe & Bakery,$9.,1220 W. Webster Ave.
36,Duck Confit and Mozzarella,First Slice Pie Café,$9.,5357 N. Ashland Ave.
37,Croque Monsieur,Troquet,$8.,1834 W. Montrose Ave.
38,Green Garbanzo,Grahamwich,$8.,615 N. State St.
39,The Hen House,Saigon Sisters,$7.,Multiple locations
40,Tuscan Chicken,Rosalia’s Deli,$6.,241 N. York Rd.
41,The Marty ,Z&H MarketCafe,$7.25, 1323 E. 57th St.
42,Whitefish,Market House on the Square,$11.,655 Forest Ave.
43,"Oat Bread, Pecan Butter, and Fruit Jam",Elaine’s Coffee Call,$6.,Hotel Lincoln
44,Cauliflower Melt,Marion Street Cheese Market,$9.,100 S. Marion St.
45,Cubana,Cafecito,$5.49, 26 E. Congress Pkwy.
46,Kufta,Chickpea,$8.,2018 W. Chicago Ave.
47,Debbie’s Egg Salad,The Goddess and Grocer,$6.50, 25 E. Delaware Pl.
48,Beef Curry,Zenwich,$7.50, 416 N. York St.
49,Le Végétarien,Toni Patisserie,$8.75, 65 E. Washington St.
50,The Gatsby,Phoebe’s Bakery,$6.85, 3351 N. Broadway
